customer_id,first_name,last_name,email,address_id,total_spend,genre
526,KARL,SEAL,KARL.SEAL@sakilacustomer.org,532,1772.40,Animation
469,WESLEY,BULL,WESLEY.BULL@sakilacustomer.org,474,1598.40,Games
526,KARL,SEAL,KARL.SEAL@sakilacustomer.org,532,1550.85,Family
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,1515.78,Sci-Fi
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,1299.24,Family
468,TIM,CARY,TIM.CARY@sakilacustomer.org,473,1229.27,Animation
181,ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,185,1222.62,Family
196,ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,200,1213.20,Animation
522,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,528,1173.69,Games
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,141,1167.66,Games
526,KARL,SEAL,KARL.SEAL@sakilacustomer.org,532,1107.75,Documentary
526,KARL,SEAL,KARL.SEAL@sakilacustomer.org,532,1107.75,Horror
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,1082.70,Travel
197,SUE,PETERS,SUE.PETERS@sakilacustomer.org,201,1082.20,Comedy
506,LESLIE,SEWARD,LESLIE.SEWARD@sakilacustomer.org,511,1068.55,Action
469,WESLEY,BULL,WESLEY.BULL@sakilacustomer.org,474,1065.60,Foreign
454,ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,459,1061.69,Sports
257,MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,262,1061.41,Documentary
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1012.34,Classics
410,CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,415,1005.72,Action
410,CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,415,1005.72,Family
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,148,977.90,Drama
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,141,973.05,Sports
209,TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,213,970.08,Action
373,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,378,969.90,Animation
550,GUY,BROWNLEE,GUY.BROWNLEE@sakilacustomer.org,556,958.08,Family
267,MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,272,957.84,New
279,DIANNE,SHELTON,DIANNE.SHELTON@sakilacustomer.org,284,949.83,Sci-Fi
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,933.90,Sci-Fi
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,933.54,Family
459,TOMMY,COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,464,933.10,Family
459,TOMMY,COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,464,933.10,Comedy
274,NAOMI,JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,279,915.90,New
439,ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,444,909.84,Family
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,893.62,Children
206,TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,210,887.11,New
468,TIM,CARY,TIM.CARY@sakilacustomer.org,473,878.05,Sports
236,MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,240,877.90,Games
236,MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,240,877.90,Foreign
181,ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,185,873.30,Horror
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,180,868.15,Comedy
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,180,868.15,Animation
277,OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,282,868.08,Sports
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,867.72,Animation
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,866.16,Classics
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,866.16,Horror
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,152,866.16,Foreign
363,ROY,WHITING,ROY.WHITING@sakilacustomer.org,368,862.26,Action
406,NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,411,858.76,Animation
259,LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,264,853.35,Sports
472,GREG,ROBINS,GREG.ROBINS@sakilacustomer.org,477,850.20,Music
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,848.25,Drama
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,848.25,Foreign
494,RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,499,844.14,Sports
522,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,528,838.35,Animation
576,MORRIS,MCCARTER,MORRIS.MCCARTER@sakilacustomer.org,582,837.96,New
403,MIKE,WAY,MIKE.WAY@sakilacustomer.org,408,833.25,Sci-Fi
403,MIKE,WAY,MIKE.WAY@sakilacustomer.org,408,833.25,Foreign
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,832.02,Action
380,RUSSELL,BRINSON,RUSSELL.BRINSON@sakilacustomer.org,385,819.84,Foreign
125,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,129,814.08,Documentary
168,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,172,813.96,Foreign
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,809.90,New
209,TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,213,808.40,Children
591,KENT,ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,597,808.38,Sports
569,DAVE,GARDINER,DAVE.GARDINER@sakilacustomer.org,575,808.08,Sports
470,GORDON,ALLARD,GORDON.ALLARD@sakilacustomer.org,475,803.40,Action
323,MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,328,802.83,Action
179,DANA,HART,DANA.HART@sakilacustomer.org,183,802.26,Family
560,JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,566,796.20,Action
293,MAE,FLETCHER,MAE.FLETCHER@sakilacustomer.org,298,793.45,Sports
372,STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,377,793.30,Games
372,STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,377,793.30,Action
314,GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,319,790.02,Sports
441,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,446,789.04,New
273,PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,278,788.25,Sci-Fi
594,EDUARDO,HIATT,EDUARDO.HIATT@sakilacustomer.org,600,784.38,Sports
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,148,782.32,New
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,148,782.32,Classics
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,148,782.32,Action
116,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,120,782.11,Family
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,778.44,Foreign
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,778.44,Drama
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,141,778.44,Travel
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,778.44,Travel
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,778.44,Documentary
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,141,778.44,Comedy
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,182,778.44,Animation
346,ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,351,778.40,Family
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,778.25,Foreign
584,SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,590,778.20,Comedy
269,CASSANDRA,WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,274,778.20,Documentary
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,778.20,Music
244,VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,248,778.08,Comedy
354,JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,359,777.84,Documentary
354,JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,359,777.84,Drama
375,AARON,SELBY,AARON.SELBY@sakilacustomer.org,380,775.32,Travel
197,SUE,PETERS,SUE.PETERS@sakilacustomer.org,201,773.00,Children
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,772.26,Animation
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,123,768.30,Sci-Fi
147,JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,151,765.96,Action
